Event,FieldStarID,RA,Dec,t_0,t_E,u_0,Isource,Ibase,Icat,Ctype,A_I,Related_event,table_year,ra_deg,dec_deg
KMT-2016-BLG-0105,SAO42M0801.076235,17:54:20.41,-29:00:21.38,7539.37705,5.6,0.61,19.59,19.59,19.59,1,1.79,,2016,268.5850416666666,-29.00593888888889
KMT-2016-BLG-0106,SAO42M0802.009154,17:54:17.90,-28:55:15.74,7488.70668,21.41,0.236,17.78,17.77,17.77,2,1.72,MB16123,2016,268.5745833333333,-28.92103888888889
KMT-2016-BLG-0107,BLG42M0803.009668,17:54:27.48,-28:46:28.96,7549.86973,15.4,0.486,17.89,17.88,17.88,2,2.0,OB160937 MB16282,2016,268.61449999999996,-28.77471111111111
KMT-2016-BLG-0108,SAO42T0308.001230,17:52:26.75,-29:13:31.91,7488.75752,14.56,1.0,16.93,15.59,15.59,1,2.54,OB160547 OB160575 MB16135,2016,268.1114583333333,-29.225530555555554
KMT-2016-BLG-0109,SAO42T0308.041238,17:52:17.99,-29:16:38.32,7516.96436,47.39,0.062,22.69,19.85,19.85,1,2.85,,2016,268.0749583333333,-29.27731111111111
KMT-2016-BLG-0110,SAO43K0301.008383,18:00:14.13,-27:58:25.50,7530.06283,41.94,0.917,17.79,17.5,17.5,1,1.69,OB160576,2016,270.05887499999994,-27.97375
KMT-2016-BLG-0111,SAO43K0401.001130,17:59:18.87,-27:59:41.10,7562.07584,23.14,0.265,15.37,15.21,15.21,1,1.89,MB16254,2016,269.828625,-27.99475
KMT-2016-BLG-0112,SAO43K0405.024145,17:59:40.70,-27:26:17.99,7648.41245,20.29,0.921,19.38,19.01,19.01,1,2.13,,2016,269.9195833333333,-27.438330555555556
KMT-2016-BLG-0113,BLG43K0504.016526,17:58:52.32,-27:36:48.82,7581.59823,199.96,0.003,22.53,18.46,18.46,1,2.02,OB161190 MB16383,2016,269.71799999999996,-27.613561111111114
KMT-2016-BLG-0114,SAO43K0505.001126,17:58:59.02,-27:23:59.89,7513.77397,102.08,0.045,21.57,15.21,15.21,1,1.81,,2016,269.74591666666663,-27.399969444444444
KMT-2016-BLG-0115,SAO43K0601.005501,17:58:15.57,-27:57:48.82,7556.80635,14.78,0.297,17.63,17.27,17.27,1,2.63,OB160940 MB16315,2016,269.564875,-27.96356111111111
KMT-2016-BLG-0116,SAO43K0604.005286,17:58:21.19,-27:32:11.51,7503.3672,12.09,0.8,17.92,16.72,16.72,1,2.01,OB160640,2016,269.5882916666666,-27.536530555555558
KMT-2016-BLG-0117,SAO43K0604.036016,17:58:34.72,-27:36:54.00,7506.37978,18.38,0.032,20.68,19.25,19.25,1,1.84,OB160768 MB16207,2016,269.6446666666666,-27.615000000000002
KMT-2016-BLG-0118,SAO43K0604.069768,17:58:15.74,-27:32:18.10,7582.18198,15.32,0.475,19.95,20.0,20.16,1,2.08,OB161281,2016,269.5655833333333,-27.53836111111111
KMT-2016-BLG-0119,BLG43K0701.001878,17:57:57.69,-27:53:52.76,7521.64495,6.88,0.999,16.88,16.76,16.76,2,2.53,OB160855,2016,269.490375,-27.89798888888889
KMT-2016-BLG-0120,SAO43K0704.034003,17:58:00.72,-27:32:50.10,7517.23538,5.17,0.48,20.07,20.0,20.4,1,2.37,,2016,269.50299999999993,-27.547250000000002
KMT-2016-BLG-0121,SAO43K0801.009715,17:57:09.43,-27:57:18.36,7495.4691,9.79,0.999,18.6,18.5,18.5,2,2.42,OB160615,2016,269.28929166666666,-27.955099999999998
KMT-2016-BLG-0122,SAO43M0105.024844,18:05:59.05,-27:28:23.59,7577.21678,40.12,0.099,20.96,18.47,18.47,1,0.75,MB16392,2016,271.4960416666666,-27.473219444444442
KMT-2016-BLG-0123,BLG43M0203.092105,18:05:30.83,-27:39:47.20,7577.67039,14.14,0.107,19.91,20.0,20.34,1,1.09,OB161286,2016,271.3784583333333,-27.66311111111111
KMT-2016-BLG-0124,SAO43M0302.011608,18:05:01.18,-27:45:45.90,7525.5997,40.7,0.016,22.68,17.86,17.86,1,0.93,OB160878,2016,271.2549166666666,-27.76275
KMT-2016-BLG-0125,BLG43M0308.047159,18:05:03.03,-27:04:29.32,7498.97959,22.45,0.389,19.14,19.29,19.29,1,1.07,,2016,271.26262499999996,-27.07481111111111
